,Kilometres,Seats_count,Engine_in_litre,Cylinders_in_engine,FuelConsumption_Per100km,DriveType_4WD,DriveType_AWD,DriveType_Front,DriveType_Other,DriveType_Rear,Transmission_Automatic,Transmission_Manual,vechile_history_DEMO,vechile_history_NEW,vechile_history_USED,FuelType_Diesel,FuelType_Electric,FuelType_Hybrid,FuelType_LPG,FuelType_Leaded,FuelType_Other,FuelType_Premium,FuelType_Unleaded,BodyType_Commercial,BodyType_Convertible,BodyType_Coupe,BodyType_Hatchback,BodyType_Other,BodyType_People Mover,BodyType_SUV,BodyType_Sedan,BodyType_Ute / Tray,BodyType_Wagon,Brands
1,16.0,5.0,1.5,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,43
4,1035.0,5.0,1.3,4.0,6.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,58
9,38229.0,5.0,1.3,4.0,4.5,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28
13,55676.0,5.0,1.4,4.0,6.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
14,82624.0,5.0,2.0,4.0,5.6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
15,120020.0,5.0,2.4,4.0,7.668092061374249,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50
16,95204.0,5.0,2.0,4.0,5.4,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4
19,98079.0,5.0,1.6,4.0,6.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19
21,43274.0,5.0,1.5,4.0,5.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,28
22,105672.0,5.0,2.5,4.0,8.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,65
24,115821.0,5.0,2.4,4.0,9.8,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
25,189711.0,5.0,2.4,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,29
27,114301.0,5.0,2.0,4.0,6.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,51
28,69197.0,5.0,2.0,4.0,6.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
29,15.0,5.0,2.0,4.0,7.668092061374249,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,70
30,94377.0,5.0,2.0,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29
31,94965.0,5.0,1.5,4.0,6.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,19
34,264691.0,5.0,1.5,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
36,238270.0,5.0,1.8,4.0,7.7,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
38,140964.0,5.0,2.4,4.0,9.1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,36
40,141000.0,5.0,1.6,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,71
41,240402.0,5.0,2.4,4.0,7.6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50
43,117254.0,5.0,2.0,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,48
45,10579.0,5.0,2.5,4.0,7.5,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46
46,167101.0,5.0,1.8,4.0,7.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
49,103211.0,5.0,2.4,4.0,8.7,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,28
50,177751.0,5.0,1.8,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
52,125546.0,5.0,1.8,4.0,6.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
53,163000.0,5.0,2.5,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
56,109459.0,5.0,2.0,4.0,5.6,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4
59,163012.0,5.0,2.0,4.0,8.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50
63,118642.0,5.0,2.0,4.0,8.8,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,70
64,187265.0,5.0,2.0,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,50
66,19978.0,5.0,2.0,4.0,8.1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,29
67,86804.0,5.0,2.0,4.0,8.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
70,191748.0,5.0,1.3,4.0,6.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
72,165306.0,5.0,2.0,4.0,7.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50
73,104887.0,5.0,2.0,4.0,7.1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,65
74,72501.0,5.0,2.0,4.0,5.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,49
75,167127.0,5.0,1.6,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,53
77,111783.0,5.0,1.4,4.0,5.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
79,178389.0,5.0,2.0,4.0,8.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
80,188262.0,5.0,1.4,4.0,6.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
81,71059.0,5.0,1.8,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,28
83,69218.0,5.0,1.4,4.0,5.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,36
84,124093.0,5.0,2.5,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
85,103090.0,5.0,2.5,4.0,7.668092061374249,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,51
87,61481.0,5.0,2.0,4.0,7.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,50
88,61177.0,5.0,2.0,4.0,6.6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,65
89,132648.0,5.0,2.0,4.0,8.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
93,57000.0,5.0,1.6,4.0,5.8,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,4
99,16136.0,5.0,2.5,4.0,7.4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,65
100,31531.0,5.0,2.0,4.0,6.7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,46
102,62719.0,5.0,2.0,4.0,7.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
103,52035.0,5.0,2.5,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,51
104,146445.0,5.0,1.5,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
106,163000.0,5.0,1.6,4.0,7.4,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,27
108,106718.0,5.0,2.4,4.0,9.6,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,69
112,105767.0,5.0,2.5,4.0,6.6,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,46
114,154347.0,5.0,1.8,4.0,6.7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,28
115,20827.0,5.0,2.4,4.0,7.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,36
117,97745.0,5.0,2.5,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,46
118,147626.0,5.0,1.3,4.0,6.5,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,69
120,153020.0,5.0,2.5,4.0,8.6,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,46
122,183924.0,5.0,2.8,4.0,7.668092061374249,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27
124,126532.0,5.0,1.4,4.0,5.2,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,70
125,73421.0,5.0,2.0,4.0,7.3,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,50
126,155135.0,5.0,2.4,4.0,9.9,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,69
127,123330.0,5.0,1.4,4.0,6.4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,29
