,Price
1,19990.0
4,34990.0
9,17900.0
13,14999.0
14,24985.0
15,13999.0
16,13999.0
19,11999.0
21,19900.0
22,17990.0
24,8499.0
25,12990.0
27,21950.0
28,24880.0
29,35887.0
30,23888.0
31,16999.0
34,7949.0
36,8800.0
38,13990.0
40,14999.0
41,22750.0
43,19999.0
45,37990.0
46,12990.0
49,23880.0
50,10990.0
52,15880.0
53,16995.0
56,18888.0
59,9990.0
63,12990.0
64,13990.0
66,36800.0
67,13999.0
70,8995.0
72,14995.0
73,22990.0
74,31990.0
75,12999.0
77,13990.0
79,8499.0
80,10995.0
81,24888.0
83,24950.0
84,16990.0
85,19995.0
87,17995.0
88,22990.0
89,16999.0
93,16990.0
99,39990.0
100,23950.0
102,21999.0
103,27990.0
104,8950.0
106,7950.0
108,14999.0
112,19999.0
114,15990.0
115,32888.0
117,22999.0
118,10995.0
120,13950.0
122,9990.0
124,13990.0
125,16990.0
126,10995.0
127,12990.0
128,18990.0
129,23999.0
130,14995.0
131,18995.0
132,14990.0
135,14990.0
136,7888.0
138,19800.0
139,67988.0
140,21880.0
141,41888.0
144,29990.0
145,7920.0
146,14999.0
148,16999.0
149,12990.0
150,29990.0
154,26280.0
155,21290.0
158,21290.0
159,16388.0
160,26990.0
161,32000.0
162,67988.0
163,7600.0
165,19950.0
166,9990.0
168,7999.0
172,17888.0
173,18995.0
174,16857.0
175,22990.0
178,22990.0
186,39990.0
188,31990.0
189,26990.0
191,28999.0
192,22500.0
195,29990.0
196,10990.0
198,28984.0
199,32990.0
200,19999.0
203,10800.0
205,14995.0
207,22990.0
208,14995.0
210,10990.0
212,23950.0
213,26990.0
214,7990.0
215,28999.0
216,17900.0
217,16990.0
218,26990.0
220,19990.0
222,24950.0
223,12800.0
224,41280.0
225,13990.0
226,33898.0
228,14888.0
232,23990.0
233,24888.0
234,13999.0
235,27950.0
236,13990.0
237,19999.0
239,14990.0
241,20995.0
242,14413.0
243,14776.0
244,29990.0
245,7950.0
246,7949.0
248,8880.0
251,19888.0
252,5950.0
253,51990.0
256,16990.0
259,29800.0
262,8990.0
265,16990.0
266,7880.0
268,5999.0
269,18990.0
270,27995.0
271,8995.0
272,7995.0
273,30888.0
276,39990.0
278,23690.0
279,28990.0
282,11490.0
283,18995.0
286,49913.0
287,23400.0
289,12995.0
291,9888.0
293,15999.0
295,11800.0
296,16990.0
297,36999.0
298,18990.0
300,12995.0
303,35800.0
306,28880.0
308,26300.0
309,10499.0
310,25990.0
311,23990.0
313,26990.0
314,16950.0
318,12990.0
321,10995.0
322,15888.0
324,23999.0
325,29888.0
326,34990.0
327,24990.0
328,16800.0
330,6990.0
335,21888.0
337,15984.0
340,14900.0
341,34880.0
342,8950.0
345,16995.0
347,23888.0
348,24950.0
350,13913.0
351,11880.0
352,23995.0
353,43990.0
355,26990.0
356,12990.0
357,21800.0
358,23990.0
359,41990.0
361,37888.0
363,20995.0
365,23400.0
367,10999.0
371,13995.0
373,11990.0
374,24888.0
375,9990.0
376,26888.0
377,11995.0
380,27690.0
383,12990.0
384,26888.0
385,34950.0
387,39990.0
389,19999.0
390,46990.0
392,16880.0
393,21990.0
394,16880.0
395,12999.0
396,24990.0
397,52888.0
398,21488.0
400,17999.0
402,16995.0
403,24990.0
406,12999.0
407,41990.0
408,10995.0
409,2995.0
411,39950.0
412,27990.0
414,22800.0
417,29990.0
419,39990.0
421,14990.0
423,8995.0
424,12449.0
425,28888.0
426,9999.0
427,28990.0
430,12999.0
431,35950.0
432,11999.0
433,45000.0
434,27990.0
435,14999.0
436,32990.0
437,46990.0
438,8990.0
439,22990.0
442,21990.0
443,17995.0
444,24690.0
445,23990.0
446,24888.0
447,16990.0
449,7995.0
451,21990.0
452,21888.0
453,29950.0
454,24995.0
455,26495.0
456,14995.0
457,33990.0
461,9999.0
464,38990.0
466,24990.0
467,30000.0
468,28999.0
470,19490.0
474,32990.0
475,14995.0
476,16999.0
477,28888.0
478,15995.0
480,17999.0
481,14888.0
482,22800.0
483,19350.0
487,23990.0
488,14888.0
490,12999.0
494,41900.0
495,39888.0
498,17999.0
499,34990.0
503,32999.0
505,14880.0
506,10990.0
508,9999.0
509,24705.0
510,8990.0
511,34990.0
514,14989.0
515,7995.0
518,24690.0
519,32800.0
520,23888.0
521,38888.0
522,23990.0
523,33999.0
526,28999.0
529,11990.0
531,15778.0
532,22705.0
533,41880.0
535,17990.0
536,29900.0
537,27878.0
538,19999.0
539,12990.0
541,12999.0
543,34990.0
544,21990.0
548,21995.0
550,55990.0
552,41998.0
558,29690.0
560,31990.0
562,24995.0
564,25995.0
565,38990.0
566,25999.0
567,44987.0
570,15999.0
572,22990.0
573,10990.0
576,18000.0
577,24990.0
578,8990.0
579,43880.0
581,29690.0
582,24315.0
583,28990.0
584,31990.0
585,35888.0
587,8995.0
588,17995.0
589,16990.0
592,13999.0
597,33705.0
598,41950.0
599,16999.0
600,25990.0
603,16444.0
604,28990.0
610,32900.0
612,11390.0
